,	sp 
chuộng	tʃ uə6 ŋ 
chuếnh	tʃ w eɜ ɲ 
chuềnh	tʃ w e2 ɲ 
chuểnh	tʃ w e4 ɲ 
chuễnh	tʃ w e5 ɲ 
chuệnh	tʃ w e6 ɲ 
chuỳnh	tʃ w i2 ɲ 
chuỵnh	tʃ w i6 ɲ 
chuỷnh	tʃ w i4 ɲ 
chuỹnh	tʃ w i5 ɲ 
chuốp	tʃ uəɜ p 
chuộp	tʃ uə6 p 
chuỵp	tʃ w i6 p 
chuất	tʃ w əɜ t̪ 
chuật	tʃ w ə6 t̪ 
chuốt	tʃ uəɜ t̪ 
chuột	tʃ uə6 t̪ 
chuỵt	tʃ w i6 t̪ 
chuỳu	tʃ w i2 w 
chuỵu	tʃ w i6 w 
chuỷu	tʃ w i4 w 
chuỹu	tʃ w i5 w 
chuấy	tʃ w əɪɜ 
chuầy	tʃ w əɪ2 
chuẩy	tʃ w əɪ4 
chuẫy	tʃ w əɪ5 
chuậy	tʃ w əɪ6 
chy	tʃ i 
chà	tʃ aː2 
chài	tʃ aː2 j 
chàm	tʃ aː2 m 
chàn	tʃ aː2 n 
chàng	tʃ aː2 ŋ 
chành	tʃ e2 ɲ 
chào	tʃ aː2 w 
chàu	tʃ a2 w 
chày	tʃ a2 j 
chá	tʃ aːɜ 
chác	tʃ aːɜ c 
chách	tʃ eɜ c 
chái	tʃ aːɜ j 
chám	tʃ aːɜ m 
chán	tʃ aːɜ n 
cháng	tʃ aːɜ ŋ 
chánh	tʃ eɜ ɲ 
cháo	tʃ aːɜ w 
cháp	tʃ aːɜ p 
chát	tʃ aːɜ t̪ 
cháu	tʃ aɜ w 
cháy	tʃ aɜ j 
châm	tʃ ə m 
chân	tʃ ə n 
châng	tʃ ə ŋ 
châu	tʃ ə1 w 
chây	tʃ əɪ 
chã	tʃ aː5 
chãi	tʃ aː5 j 
chãm	tʃ aː5 m 
chãn	tʃ aː5 n 
chãng	tʃ aː5 ŋ 
chãnh	tʃ e5 ɲ 
chão	tʃ aː5 w 
chãu	tʃ a5 w 
chãy	tʃ a5 j 
chè	tʃ ɛ2 
chèm	tʃ ɛ2 m 
chèn	tʃ ɛ2 n 
chèng	tʃ ɛ2 ŋ 
chèo	tʃ ɛ2 w 
ché	tʃ ɛɜ 
chéc	tʃ ɛɜ c 
chém	tʃ ɛɜ m 
chén	tʃ ɛɜ n 
chéng	tʃ ɛɜ ŋ 
chéo	tʃ ɛɜ w 
chép	tʃ ɛɜ p 
chét	tʃ ɛɜ t̪ 
chê	tʃ e 
chêm	tʃ e m 
chên	tʃ e n 
chênh	tʃ e ɲ 
chêu	tʃ e1 w 
chì	tʃ i2 
chìa	tʃ iə2 
chìm	tʃ i2 m 
chìn	tʃ i2 n 
chình	tʃ i2 ɲ 
chìu	tʃ i2 w 
chí	tʃ iɜ 
chía	tʃ iəɜ 
chích	tʃ iɜ c 
chím	tʃ iɜ m 
chín	tʃ iɜ n 
chính	tʃ iɜ ɲ 
chíp	tʃ iɜ p 
chít	tʃ iɜ t̪ 
chíu	tʃ iɜ w 
chò	tʃ ɔ2 
chòi	tʃ ɔ2 j 
chòm	tʃ ɔ2 m 
chòn	tʃ ɔ2 n 
chòng	tʃ ɔ2 ŋ 
chó	tʃ ɔɜ 
chóc	tʃ ɔɜ k 
chói	tʃ ɔɜ j 
chóm	tʃ ɔɜ m 
chón	tʃ ɔɜ n 
chóng	tʃ ɔɜ ŋ 
chóp	tʃ ɔɜ p 
chót	tʃ ɔɜ t̪ 
chô	tʃ o 
chôi	tʃ o j 
chôm	tʃ o m 
chôn	tʃ o n 
chông	tʃ o ŋ 
chõ	tʃ ɔ5 
chõi	tʃ ɔ5 j 
chõm	tʃ ɔ5 m 
chõn	tʃ ɔ5 n 
chõng	tʃ ɔ5 ŋ 
chù	tʃ u2 
chùa	tʃ uə2 
chùi	tʃ u2 j 
chùm	tʃ u2 m 
chùn	tʃ u2 n 
chùng	tʃ u2 ŋ 
chú	tʃ uɜ 
chúa	tʃ uəɜ 
chúc	tʃ uɜ c 
chúi	tʃ uɜ j 
chúm	tʃ uɜ m 
chún	tʃ uɜ n 
chúng	tʃ uɜ ŋ 
chúp	tʃ uɜ p 
chút	tʃ uɜ t̪ 
chý	tʃ iɜ 
chĩ	tʃ i5 
chũ	tʃ u5 
chơ	tʃ əː 
chư	tʃ y 
chạ	tʃ aː6 
chả	tʃ aː4 
chẹ	tʃ ɛ6 
chẻ	tʃ ɛ4 
chẽ	tʃ ɛ5 
chế	tʃ eɜ 
chề	tʃ e2 
chể	tʃ e4 
chễ	tʃ e5 
chệ	tʃ e6 
chỉ	tʃ i4 
chị	tʃ i6 
chọ	tʃ ɔ6 
chỏ	tʃ ɔ4 
chố	tʃ oɜ 
chồ	tʃ o2 
chổ	tʃ o4 
chỗ	tʃ o5 
chộ	tʃ o6 
chớ	tʃ əːɜ 
chờ	tʃ əː2 
chở	tʃ əː4 
chỡ	tʃ əː5 
chợ	tʃ əː6 
chụ	tʃ u6 
chủ	tʃ u4 
chứ	tʃ yɜ 
chừ	tʃ y2 
chử	tʃ y4 
chữ	tʃ y5 
chự	tʃ y6 
chỳ	tʃ i2 
chỵ	tʃ i6 
chỷ	tʃ i4 
chỹ	tʃ i5 
chĩa	tʃ iə5 
chũa	tʃ uə5 
chưa	tʃ yə 
chỉa	tʃ iə4 
chịa	tʃ iə6 
chụa	tʃ uə6 
chủa	tʃ uə4 
chứa	tʃ yəɜ 
chừa	tʃ yə2 
chửa	tʃ yə4 
chữa	tʃ yə5 
chựa	tʃ yə6 
chạc	tʃ aː6 c 
chấc	tʃ əɜ c 
chậc	tʃ ə6 c 
chắc	tʃ aɜ c 
chặc	tʃ a6 c 
chẹc	tʃ ɛ6 c 
chọc	tʃ ɔ6 k 
chốc	tʃ oɜ k 
chộc	tʃ o6 k 
chục	tʃ u6 c 
chức	tʃ yɜ c 
chực	tʃ y6 c 
chạch	tʃ e6 c 
chếch	tʃ eɜ c 
chệch	tʃ e6 c 
chịch	tʃ i6 c 
chũi	tʃ u5 j 
chơi	tʃ əː j 
chưi	tʃ y j 
chại	tʃ aː6 j 
chải	tʃ aː4 j 
chọi	tʃ ɔ6 j 
chỏi	tʃ ɔ4 j 
chối	tʃ oɜ j 
chồi	tʃ o2 j 
chổi	tʃ o4 j 
chỗi	tʃ o5 j 
chội	tʃ o6 j 
chới	tʃ əːɜ j 
chời	tʃ əː2 j 
chởi	tʃ əː4 j 
chỡi	tʃ əː5 j 
chợi	tʃ əː6 j 
chụi	tʃ u6 j 
chủi	tʃ u4 j 
chứi	tʃ yɜ j 
chừi	tʃ y2 j 
chửi	tʃ y4 j 
chữi	tʃ y5 j 
chựi	tʃ y6 j 
chăm	tʃ a m 
chĩm	tʃ i5 m 
chũm	tʃ u5 m 
chơm	tʃ əː m 
chưm	tʃ y m 
chạm	tʃ aː6 m 
chảm	tʃ aː4 m 
chấm	tʃ əɜ m 
chầm	tʃ ə2 m 
chẩm	tʃ ə4 m 
chẫm	tʃ ə5 m 
chậm	tʃ ə6 m 
chắm	tʃ aɜ m 
chằm	tʃ a2 m 
chẳm	tʃ a4 m 
chẵm	tʃ a5 m 
chặm	tʃ a6 m 
chẹm	tʃ ɛ6 m 
chẻm	tʃ ɛ4 m 
chẽm	tʃ ɛ5 m 
chếm	tʃ eɜ m 
chềm	tʃ e2 m 
chểm	tʃ e4 m 
chễm	tʃ e5 m 
chệm	tʃ e6 m 
chỉm	tʃ i4 m 
chịm	tʃ i6 m 
chọm	tʃ ɔ6 m 
chỏm	tʃ ɔ4 m 
chốm	tʃ oɜ m 
chồm	tʃ o2 m 
chổm	tʃ o4 m 
chỗm	tʃ o5 m 
chộm	tʃ o6 m 
chớm	tʃ əːɜ m 
chờm	tʃ əː2 m 
chởm	tʃ əː4 m 
chỡm	tʃ əː5 m 
chợm	tʃ əː6 m 
chụm	tʃ u6 m 
chủm	tʃ u4 m 
chứm	tʃ yɜ m 
chừm	tʃ y2 m 
chửm	tʃ y4 m 
chữm	tʃ y5 m 
chựm	tʃ y6 m 
chăn	tʃ a n 
chĩn	tʃ i5 n 
chũn	tʃ u5 n 
chơn	tʃ əː n 
chưn	tʃ y n 
chạn	tʃ aː6 n 
chản	tʃ aː4 n 
chấn	tʃ əɜ n 
chần	tʃ ə2 n 
chẩn	tʃ ə4 n 
chẫn	tʃ ə5 n 
chận	tʃ ə6 n 
chắn	tʃ aɜ n 
chằn	tʃ a2 n 
chẳn	tʃ a4 n 
chẵn	tʃ a5 n 
chặn	tʃ a6 n 
chẹn	tʃ ɛ6 n 
chẻn	tʃ ɛ4 n 
chẽn	tʃ ɛ5 n 
chến	tʃ eɜ n 
chền	tʃ e2 n 
chển	tʃ e4 n 
chễn	tʃ e5 n 
chện	tʃ e6 n 
chỉn	tʃ i4 n 
chịn	tʃ i6 n 
chọn	tʃ ɔ6 n 
chỏn	tʃ ɔ4 n 
chốn	tʃ oɜ n 
chồn	tʃ o2 n 
chổn	tʃ o4 n 
chỗn	tʃ o5 n 
chộn	tʃ o6 n 
chớn	tʃ əːɜ n 
chờn	tʃ əː2 n 
chởn	tʃ əː4 n 
chỡn	tʃ əː5 n 
chợn	tʃ əː6 n 
chụn	tʃ u6 n 
chủn	tʃ u4 n 
chứn	tʃ yɜ n 
chừn	tʃ y2 n 
chửn	tʃ y4 n 
chữn	tʃ y5 n 
chựn	tʃ y6 n 
chăng	tʃ a ŋ 
chũng	tʃ u5 ŋ 
chưng	tʃ y ŋ 
chạng	tʃ aː6 ŋ 
chảng	tʃ aː4 ŋ 
chấng	tʃ əɜ ŋ 
chầng	tʃ ə2 ŋ 
chẩng	tʃ ə4 ŋ 
chẫng	tʃ ə5 ŋ 
chậng	tʃ ə6 ŋ 
chắng	tʃ aɜ ŋ 
chằng	tʃ a2 ŋ 
chẳng	tʃ a4 ŋ 
chẵng	tʃ a5 ŋ 
chặng	tʃ a6 ŋ 
chẹng	tʃ ɛ6 ŋ 
chẻng	tʃ ɛ4 ŋ 
chẽng	tʃ ɛ5 ŋ 
chọng	tʃ ɔ6 ŋ 
chỏng	tʃ ɔ4 ŋ 
chống	tʃ oɜ ŋ 
chồng	tʃ o2 ŋ 
chổng	tʃ o4 ŋ 
chỗng	tʃ o5 ŋ 
chộng	tʃ o6 ŋ 
chụng	tʃ u6 ŋ 
chủng	tʃ u4 ŋ 
chứng	tʃ yɜ ŋ 
chừng	tʃ y2 ŋ 
chửng	tʃ y4 ŋ 
chững	tʃ y5 ŋ 
chựng	tʃ y6 ŋ 
chĩnh	tʃ i5 ɲ 
chạnh	tʃ e6 ɲ 
chảnh	tʃ e4 ɲ 
chếnh	tʃ eɜ ɲ 
chềnh	tʃ e2 ɲ 
chểnh	tʃ e4 ɲ 
chễnh	tʃ e5 ɲ 
chệnh	tʃ e6 ɲ 
chỉnh	tʃ i4 ɲ 
chịnh	tʃ i6 ɲ 
chạo	tʃ aː6 w 
chảo	tʃ aː4 w 
chẹo	tʃ ɛ6 w 
chẻo	tʃ ɛ4 w 
chẽo	tʃ ɛ5 w 
chạp	tʃ aː6 p 
chấp	tʃ əɜ p 
chập	tʃ ə6 p 
chắp	tʃ aɜ p 
chặp	tʃ a6 p 
chẹp	tʃ ɛ6 p 
chếp	tʃ eɜ p 
chệp	tʃ e6 p 
chịp	tʃ i6 p 
chọp	tʃ ɔ6 p 
chốp	tʃ oɜ p 
chộp	tʃ o6 p 
chớp	tʃ əːɜ p 
chợp	tʃ əː6 p 
chụp	tʃ u6 p 
chạt	tʃ aː6 t̪ 
chất	tʃ əɜ t̪ 
chật	tʃ ə6 t̪ 
chắt	tʃ aɜ t̪ 
chặt	tʃ a6 t̪ 
chẹt	tʃ ɛ6 t̪ 
chết	tʃ eɜ t̪ 
chệt	tʃ e6 t̪ 
chịt	tʃ i6 t̪ 
chọt	tʃ ɔ6 t̪ 
chốt	tʃ oɜ t̪ 
chột	tʃ o6 t̪ 
chớt	tʃ əːɜ t̪ 
chợt	tʃ əː6 t̪ 
chụt	tʃ u6 t̪ 
chứt	tʃ yɜ t̪ 
chựt	tʃ y6 t̪ 
chĩu	tʃ i5 w 
chưu	tʃ i w 
chạu	tʃ a6 w 
chảu	tʃ a4 w 
chấu	tʃ əɜ w 
chầu	tʃ ə2 w 
chẩu	tʃ ə4 w 
chẫu	tʃ ə5 w 
chậu	tʃ ə6 w 
chếu	tʃ eɜ w 
chều	tʃ e2 w 
chểu	tʃ e4 w 
chễu	tʃ e5 w 
chệu	tʃ e6 w 
chỉu	tʃ i4 w 
chịu	tʃ i6 w 
chứu	tʃ iɜ w 
chừu	tʃ i2 w 
chửu	tʃ i4 w 
chữu	tʃ i5 w 
chựu	tʃ i6 w 
chạy	tʃ a6 j 
chảy	tʃ a4 j 
chấy	tʃ əɪɜ 
chầy	tʃ əɪ2 
chẩy	tʃ əɪ4 
chẫy	tʃ əɪ5 
chậy	tʃ əɪ6 
chước	tʃ yəɜ c 
chược	tʃ yə6 c 
chươi	tʃ yə j 
chưới	tʃ yəɜ j 
chười	tʃ yə2 j 
chưởi	tʃ yə4 j 
chưỡi	tʃ yə5 j 
chượi	tʃ yə6 j 
chươm	tʃ yə m 
chướm	tʃ yəɜ m 
chườm	tʃ yə2 m 
chưởm	tʃ yə4 m 
chưỡm	tʃ yə5 m 
chượm	tʃ yə6 m 
chươn	tʃ yə n 
chướn	tʃ yəɜ n 
chườn	tʃ yə2 n 
chưởn	tʃ yə4 n 
chưỡn	tʃ yə5 n 
chượn	tʃ yə6 n 
chương	tʃ yə ŋ 
chướng	tʃ yəɜ ŋ 
chường	tʃ yə2 ŋ 
chưởng	tʃ yə4 ŋ 
chưỡng	tʃ yə5 ŋ 
chượng	tʃ yə6 ŋ 
chướp	tʃ yəɜ p 
chượp	tʃ yə6 p 
chướt	tʃ yəɜ t̪ 
chượt	tʃ yə6 t̪ 
chươu	tʃ yə w 
chướu	tʃ yəɜ w 
chườu	tʃ yə2 w 
chưởu	tʃ yə4 w 
chưỡu	tʃ yə5 w 
chượu	tʃ yə6 w 
co	k ɔ 
coa	k w aː 
coai	k w aː j 
coam	k w aː m 
coan	k w aː n 
coang	k w aː ŋ 
coanh	k w e ɲ 
coao	k w aː w 
coay	k w a j 
coe	k w ɛ 
coem	k w ɛ m 
coen	k w ɛ n 
coeo	k w ɛ w 
coi	k ɔ j 
com	k ɔ m 
con	k ɔ n 
cong	k ɔ ŋ 
coong	k ɔ ŋ 
coà	k w aː2 
coài	k w aː2 j 
coàm	k w aː2 m 
coàn	k w aː2 n 
coàng	k w aː2 ŋ 
coành	k w e2 ɲ 
coào	k w aː2 w 
coày	k w a2 j 
coá	k w aːɜ 
coác	k w aːɜ c 
coách	k w eɜ c 
coái	k w aːɜ j 
coám	k w aːɜ m 
coán	k w aːɜ n 
coáng	k w aːɜ ŋ 
coánh	k w eɜ ɲ 
coáo	k w aːɜ w 
coáp	k w aːɜ p 
coát	k w aːɜ t̪ 
coáy	k w aɜ j 
coã	k w aː5 
coãi	k w aː5 j 
coãm	k w aː5 m 
coãn	k w aː5 n 
coãng	k w aː5 ŋ 
coãnh	k w e5 ɲ 
coão	k w aː5 w 
coãy	k w a5 j 
coè	k w ɛ2 
coèm	k w ɛ2 m 
coèn	k w ɛ2 n 
coèo	k w ɛ2 w 
coé	k w ɛɜ 
coém	k w ɛɜ m 
coén	k w ɛɜ n 
coéo	k w ɛɜ w 
coét	k w ɛɜ t̪ 
coòng	k w ɔ2 ŋ 
coóc	k w ɔɜ k 
coóng	k w ɔɜ ŋ 
coõng	k w ɔ5 ŋ 
coạ	k w aː6 
coả	k w aː4 
coẹ	k w ɛ6 
coẻ	k w ɛ4 
coẽ	k w ɛ5 
coạc	k w aː6 c 
coắc	k w aɜ c 
coặc	k w a6 c 
coọc	k w ɔ6 k 
coạch	k w e6 c 
coại	k w aː6 j 
coải	k w aː4 j 
coăm	k w a m 
coạm	k w aː6 m 
coảm	k w aː4 m 
coắm	k w aɜ m 
coằm	k w a2 m 
coẳm	k w a4 m 
coẵm	k w a5 m 
coặm	k w a6 m 
coẹm	k w ɛ6 m 
coẻm	k w ɛ4 m 
coẽm	k w ɛ5 m 
coăn	k w a n 
coạn	k w aː6 n 
coản	k w aː4 n 
coắn	k w aɜ n 
coằn	k w a2 n 
coẳn	k w a4 n 
coẵn	k w a5 n 
coặn	k w a6 n 
coẹn	k w ɛ6 n 
coẻn	k w ɛ4 n 
coẽn	k w ɛ5 n 
coăng	k w a ŋ 
coạng	k w aː6 ŋ 
coảng	k w aː4 ŋ 
coắng	k w aɜ ŋ 
coằng	k w a2 ŋ 
coẳng	k w a4 ŋ 
coẵng	k w a5 ŋ 
coặng	k w a6 ŋ 
coọng	k w ɔ6 ŋ 
coỏng	k w ɔ4 ŋ 
coạnh	k w e6 ɲ 
coảnh	k w e4 ɲ 
coạo	k w aː6 w 
coảo	k w aː4 w 
coẹo	k w ɛ6 w 
coẻo	k w ɛ4 w 
coẽo	k w ɛ5 w 
coạp	k w aː6 p 
coạt	k w aː6 t̪ 
coắt	k w aɜ t̪ 
coặt	k w a6 t̪ 
coẹt	k w ɛ6 t̪ 
coạy	k w a6 j 
coảy	k w a4 j 
cu	k u 
cua	k uə 
cui	k u j 
cum	k u m 
cun	k u n 
cung	k u ŋ 
cuy	k w i 
cuya	k w iə 
cuyn	k w i n 
cuynh	k w i ɲ 
cuyu	k w i w 
cuyên	k w iɛ n 
cuyến	k w iɛɜ n 
cuyền	k w iɛ2 n 
cuyển	k w iɛ4 n 
cuyễn	k w iɛ5 n 
cuyện	k w iɛ6 n 
cuyết	k w iɛɜ t̪ 
cuyệt	k w iɛ6 t̪ 
cuân	k w ə n 
cuâng	k w ə ŋ 
cuây	k w əɪ 
cuê	k w e 
cuênh	k w e ɲ 
cuôi	k uə j 
cuôm	k uə m 
cuôn	k uə n 
cuông	k uə ŋ 
cuý	k w iɜ 
cuýa	k w iəɜ 
cuých	k w iɜ c 
cuýn	k w iɜ n 
cuýnh	k w iɜ ɲ 
cuýp	k w iɜ p 
cuýt	k w iɜ t̪ 
cuýu	k w iɜ w 
cuơ	k w əː 
cuế	k w eɜ 
cuề	k w e2 
cuể	k w e4 
cuễ	k w e5 
cuệ	k w e6 
cuớ	k w əːɜ 
cuờ	k w əː2 
cuở	k w əː4 
cuỡ	k w əː5 
cuợ	k w əː6 
cuỳ	k w i2 
cuỵ	k w i6 
cuỷ	k w i4 
cuỹ	k w i5 
cuỳa	k w iə2 
cuỵa	k w iə6 
cuỷa	k w iə4 
cuỹa	k w iə5 
cuốc	k uəɜ c 
cuộc	k uə6 c 
cuếch	k w eɜ c 
cuệch	k w e6 c 
cuỵch	k w i6 c 
cuối	k uəɜ j 
cuồi	k uə2 j 
cuổi	k uə4 j 
cuỗi	k uə5 j 
cuội	k uə6 j 
cuốm	k uəɜ m 
cuồm	k uə2 m 
cuổm	k uə4 m 
cuỗm	k uə5 m 
cuộm	k uə6 m 
cuấn	k w əɜ n 
cuần	k w ə2 n 
cuẩn	k w ə4 n 
cuẫn	k w ə5 n 
cuận	k w ə6 n 
cuốn	k uəɜ n 
cuồn	k uə2 n 
cuổn	k uə4 n 
cuỗn	k uə5 n 
cuộn	k uə6 n 
cuỳn	k w i2 n 
cuỵn	k w i6 n 
cuỷn	k w i4 n 
cuỹn	k w i5 n 
cuấng	k w əɜ ŋ 
cuầng	k w ə2 ŋ 
cuẩng	k w ə4 ŋ 
cuẫng	k w ə5 ŋ 
cuậng	k w ə6 ŋ 
cuống	k uəɜ ŋ 
cuồng	k uə2 ŋ 
cuổng	k uə4 ŋ 
cuỗng	k uə5 ŋ 
cuộng	k uə6 ŋ 
cuếnh	k w eɜ ɲ 
cuềnh	k w e2 ɲ 
cuểnh	k w e4 ɲ 
cuễnh	k w e5 ɲ 
cuệnh	k w e6 ɲ 
cuỳnh	k w i2 ɲ 
cuỵnh	k w i6 ɲ 
cuỷnh	k w i4 ɲ 
cuỹnh	k w i5 ɲ 
cuốp	k uəɜ p 
cuộp	k uə6 p 
cuỵp	k w i6 p 
cuất	k w əɜ t̪ 
cuật	k w ə6 t̪ 
cuốt	k uəɜ t̪ 
cuột	k uə6 t̪ 
cuỵt	k w i6 t̪ 
cuỳu	k w i2 w 
cuỵu	k w i6 w 
cuỷu	k w i4 w 
cuỹu	k w i5 w 
cuấy	k w əɪɜ 
cuầy	k w əɪ2 
cuẩy	k w əɪ4 
cuẫy	k w əɪ5 
cuậy	k w əɪ6 
cà	k aː2 
cài	k aː2 j 
càm	k aː2 m 
càn	k aː2 n 
càng	k aː2 ŋ 
cành	k e2 ɲ 
cào	k aː2 w 
càu	k a2 w 
cày	k a2 j 
cá	k aːɜ 
các	k aːɜ c 
cách	k eɜ c 
cái	k aːɜ j 
cám	k aːɜ m 
cán	k aːɜ n 
cáng	k aːɜ ŋ 
cánh	k eɜ ɲ 
cáo	k aːɜ w 
cáp	k aːɜ p 
cát	k aːɜ t̪ 
cáu	k aɜ w 
cáy	k aɜ j 
câm	k ə m 
cân	k ə n 
câng	k ə ŋ 
câu	k ə1 w 
cây	k əɪ 
cã	k aː5 
cãi	k aː5 j 
cãm	k aː5 m 
cãn	k aː5 n 
cãng	k aː5 ŋ 
cãnh	k e5 ɲ 
cão	k aː5 w 
cãu	k a5 w 
cãy	k a5 j 
cò	k ɔ2 
còi	k ɔ2 j 
còm	k ɔ2 m 
còn	k ɔ2 n 
còng	k ɔ2 ŋ 
có	k ɔɜ 
cóc	k ɔɜ k 
cói	k ɔɜ j 
cóm	k ɔɜ m 
cón	k ɔɜ n 
cóng	k ɔɜ ŋ 
cóp	k ɔɜ p 
cót	k ɔɜ t̪ 
cô	k o 
côi	k o j 
côm	k o m 
côn	k o n 
công	k o ŋ 
cõ	k ɔ5 
cõi	k ɔ5 j 
cõm	k ɔ5 m 
cõn	k ɔ5 n 
cõng	k ɔ5 ŋ 
cù	k u2 
cùa	k uə2 
cùi	k u2 j 
cùm	k u2 m 
cùn	k u2 n 
cùng	k u2 ŋ 
cú	k uɜ 
cúa	k uəɜ 
cúc	k uɜ c 
cúi	k uɜ j 
cúm	k uɜ m 
cún	k uɜ n 
cúng	k uɜ ŋ 
cúp	k uɜ p 
cút	k uɜ t̪ 
cũ	k u5 
cơ	k əː 
cư	k y 
cạ	k aː6 
cả	k aː4 
cọ	k ɔ6 
cỏ	k ɔ4 
cố	k oɜ 
cồ	k o2 
cổ	k o4 
cỗ	k o5 
cộ	k o6 
cớ	k əːɜ 
cờ	k əː2 
cở	k əː4 
cỡ	k əː5 
cợ	k əː6 
cụ	k u6 
củ	k u4 
cứ	k yɜ 
cừ	k y2 
cử	k y4 
cữ	k y5 
cự	k y6 
cũa	k uə5 
cưa	k yə 
cụa	k uə6 
của	k uə4 
cứa	k yəɜ 
cừa	k yə2 
cửa	k yə4 
cữa	k yə5 
cựa	k yə6 
cạc	k aː6 c 
cấc	k əɜ c 
cậc	k ə6 c 
cắc	k aɜ c 
cặc	k a6 c 
cọc	k ɔ6 k 
cốc	k oɜ k 
cộc	k o6 k 
cục	k u6 c 
cức	k yɜ c 
cực	k y6 c 
cạch	k e6 c 
cũi	k u5 j 
cơi	k əː j 
cưi	k y j 
cại	k aː6 j 
cải	k aː4 j 
cọi	k ɔ6 j 
cỏi	k ɔ4 j 
cối	k oɜ j 
cồi	k o2 j 
cổi	k o4 j 
cỗi	k o5 j 
cội	k o6 j 
cới	k əːɜ j 
cời	k əː2 j 
cởi	k əː4 j 
cỡi	k əː5 j 
cợi	k əː6 j 
cụi	k u6 j 
củi	k u4 j 
cứi	k yɜ j 
cừi	k y2 j 
cửi	k y4 j 
cữi	k y5 j 
cựi	k y6 j 
căm	k a m 
cũm	k u5 m 
cơm	k əː m 
cưm	k y m 
cạm	k aː6 m 
cảm	k aː4 m 
cấm	k əɜ m 
cầm	k ə2 m 
cẩm	k ə4 m 
cẫm	k ə5 m 
cậm	k ə6 m 
cắm	k aɜ m 
cằm	k a2 m 
cẳm	k a4 m 
cẵm	k a5 m 
cặm	k a6 m 
cọm	k ɔ6 m 
cỏm	k ɔ4 m 
cốm	k oɜ m 
cồm	k o2 m 
cổm	k o4 m 
cỗm	k o5 m 
cộm	k o6 m 
cớm	k əːɜ m 
cờm	k əː2 m 
cởm	k əː4 m 
cỡm	k əː5 m 
cợm	k əː6 m 
cụm	k u6 m 
củm	k u4 m 
cứm	k yɜ m 
cừm	k y2 m 
cửm	k y4 m 
cữm	k y5 m 
cựm	k y6 m 
căn	k a n 
cũn	k u5 n 
cơn	k əː n 
cưn	k y n 
cạn	k aː6 n 
cản	k aː4 n 
cấn	k əɜ n 
cần	k ə2 n 
cẩn	k ə4 n 
cẫn	k ə5 n 
cận	k ə6 n 
cắn	k aɜ n 
cằn	k a2 n 
cẳn	k a4 n 
cẵn	k a5 n 
cặn	k a6 n 
cọn	k ɔ6 n 
cỏn	k ɔ4 n 
cốn	k oɜ n 
cồn	k o2 n 
cổn	k o4 n 
cỗn	k o5 n 
cộn	k o6 n 
cớn	k əːɜ n 
cờn	k əː2 n 
cởn	k əː4 n 
cỡn	k əː5 n 
cợn	k əː6 n 
cụn	k u6 n 
củn	k u4 n 
cứn	k yɜ n 
cừn	k y2 n 
cửn	k y4 n 
cữn	k y5 n 
cựn	k y6 n 
căng	k a ŋ 
cũng	k u5 ŋ 
cưng	k y ŋ 
cạng	k aː6 ŋ 
cảng	k aː4 ŋ 
cấng	k əɜ ŋ 
cầng	k ə2 ŋ 
cẩng	k ə4 ŋ 
cẫng	k ə5 ŋ 
cậng	k ə6 ŋ 
cắng	k aɜ ŋ 
cằng	k a2 ŋ 
cẳng	k a4 ŋ 
cẵng	k a5 ŋ 
cặng	k a6 ŋ 
cọng	k ɔ6 ŋ 
cỏng	k ɔ4 ŋ 
cống	k oɜ ŋ 
cồng	k o2 ŋ 
cổng	k o4 ŋ 
cỗng	k o5 ŋ 
cộng	k o6 ŋ 
cụng	k u6 ŋ 
củng	k u4 ŋ 
cứng	k yɜ ŋ 
cừng	k y2 ŋ 
cửng	k y4 ŋ 
cững	k y5 ŋ 
cựng	k y6 ŋ 
cạnh	k e6 ɲ 
cảnh	k e4 ɲ 
cạo	k aː6 w 
cảo	k aː4 w 
cạp	k aː6 p 
cấp	k əɜ p 
cập	k ə6 p 
cắp	k aɜ p 
cặp	k a6 p 
cọp	k ɔ6 p 
cốp	k oɜ p 
cộp	k o6 p 
cớp	k əːɜ p 
cợp	k əː6 p 
cụp	k u6 p 
cạt	k aː6 t̪ 
cất	k əɜ t̪ 
cật	k ə6 t̪ 
cắt	k aɜ t̪ 
cặt	k a6 t̪ 
cọt	k ɔ6 t̪ 
cốt	k oɜ t̪ 
cột	k o6 t̪ 
cớt	k əːɜ t̪ 
cợt	k əː6 t̪ 
cụt	k u6 t̪ 
cứt	k yɜ t̪ 
cựt	k y6 t̪ 
cưu	k i w 
cạu	k a6 w 
cảu	k a4 w 
cấu	k əɜ w 
cầu	k ə2 w 
cẩu	k ə4 w 
cẫu	k ə5 w 
cậu	k ə6 w 
cứu	k iɜ w 
cừu	k i2 w 
cửu	k i4 w 
cữu	k i5 w 
cựu	k i6 w 
cạy	k a6 j 
cảy	k a4 j 
cấy	k əɪɜ 
cầy	k əɪ2 
cẩy	k əɪ4 
cẫy	k əɪ5 
cậy	k əɪ6 
cước	k yəɜ c 
cược	k yə6 c 
cươi	k yə j 
cưới	k yəɜ j 
cười	k yə2 j 
cưởi	k yə4 j 
cưỡi	k yə5 j 
cượi	k yə6 j 
cươm	k yə m 
cướm	k yəɜ m 
cườm	k yə2 m 
cưởm	k yə4 m 
cưỡm	k yə5 m 
cượm	k yə6 m 
cươn	k yə n 
cướn	k yəɜ n 
